,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,28.31,28.3,28.3,4.96,42.0,46.45,46.45,50.34
DIIs,1.97,1.97,1.97,1.97,20.12,24.02,0.74,0.74
Public,69.72,69.73,69.73,93.07,37.88,29.53,52.81,48.92
No. of Shareholders,5861.0,5865.0,5865.0,5863.0,5855.0,6059.0,6827.0,6677.0
