,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.1,0.29,0.36,1.07,0.15,0.89,1.26,1.84,1.22,1.39,2.34
Expenses,0.06,0.06,0.18,1.13,0.54,1.08,1.6,1.76,1.26,1.39,2.36
Operating Profit,0.04,0.23,0.18,-0.06,-0.39,-0.19,-0.34,0.08,-0.04,0.0,-0.02
OPM %,40.0,79.31,50.0,-5.61,-260.0,-21.35,-26.98,4.35,-3.28,0.0,-0.85
Other Income,0.0,0.0,0.0,0.03,0.01,0.0,0.05,0.06,-0.05,0.04,0.05
Interest,0.0,0.0,0.0,0.0,0.02,0.08,0.08,0.2,0.21,0.31,0.31
Depreciation,0.0,0.0,0.0,0.0,0.05,0.17,0.18,0.35,0.37,0.4,0.47
Profit before tax,0.04,0.23,0.18,-0.03,-0.45,-0.44,-0.55,-0.41,-0.67,-0.67,-0.75
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.04,0.23,0.18,-0.03,-0.45,-0.44,-0.55,-0.41,-0.67,-0.66,-0.75
EPS in Rs,0.17,0.96,0.49,-0.08,-1.19,-1.16,-1.38,-0.97,-1.57,-1.54,-1.73
