,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,71.0,63.0,72.0,53.0,76.0,90
Expenses,0,62.0,74.0,97.0,60.0,67.0,66
Operating Profit,-0,9.0,-11.0,-25.0,-7.0,9.0,24
OPM %,,13.0,-18.0,-35.0,-13.0,11.0,26
Other Income,0,2.0,2.0,12.0,11.0,20.0,27
Interest,0,0.0,6.0,14.0,20.0,35.0,42
Depreciation,0,0.0,4.0,15.0,17.0,16.0,16
Profit before tax,-0,11.0,-19.0,-42.0,-32.0,-23.0,-7
Tax %,20,31.0,-11.0,36.0,-14.0,-33.0,
Net Profit,-0,8.0,-22.0,-27.0,-37.0,-30.0,-28
EPS in Rs,-0.16,17.19,-47.6,-61.6,-72.36,-52.07,-40.55
