,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-1,-14,-46,84,-55
Cash from Investing Activity,,2,5,-62,-159,-74
Cash from Financing Activity,,3,4,119,74,125
Net Cash Flow,,5,-4,10,-1,-3
