,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,119.0,121.0,116.0,120.0,116.0,126.0,160.0,139.0,144
Expenses,110.0,114.0,112.0,114.0,111.0,117.0,149.0,131.0,133
Operating Profit,9.0,7.0,4.0,6.0,5.0,8.0,11.0,8.0,11
OPM %,7.0,6.0,4.0,5.0,4.0,7.0,7.0,6.0,8
Other Income,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,-0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
Profit before tax,9.0,7.0,3.0,5.0,3.0,6.0,10.0,7.0,9
Tax %,28.0,28.0,34.0,24.0,24.0,28.0,31.0,27.0,
Net Profit,6.0,5.0,2.0,4.0,3.0,5.0,7.0,5.0,6
EPS in Rs,7.32,5.79,1.96,4.63,2.96,5.19,8.23,5.6,7.30
