,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4.43,3.13,2.8200000000000003,3.78,1.35,3.51,6.73,7.5,0.62,5.9,2.77,6.35
Cash from Investing Activity,-1.93,-1.53,-4.45,-4.78,5.96,-0.33,0.72,-5.2,0.33,-1.3,-1.5,-2.61
Cash from Financing Activity,-2.2,-0.41,3.12,-1.36,-4.86,-2.5700000000000003,-7.86,-2.05,-0.84,-5.03,-0.94,-1.24
Net Cash Flow,0.3,1.19,1.49,-2.36,2.45,0.61,-0.4,0.25,0.11,-0.42,0.33,2.5
