,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.58,33.23,25.48,29.82,31.34,35.67,37.11,48.1,39.04,40.96,52.42,53.93,58.32
Expenses,31.06,28.74,23.31,26.16,28.08,30.67,31.38,40.13,35.11,34.54,43.64,45.11,47.69
Operating Profit,4.52,4.49,2.17,3.66,3.26,5.0,5.73,7.97,3.93,6.42,8.78,8.82,10.63
OPM %,12.7,13.51,8.52,12.27,10.4,14.02,15.44,16.57,10.07,15.67,16.75,16.35,18.23
Other Income,0.64,0.43,0.57,0.52,0.72,0.93,1.01,1.45,2.2,1.37,1.4,1.27,1.18
Interest,1.17,1.36,1.98,2.01,1.9,1.81,1.21,1.22,1.1,1.07,0.59,0.26,0.30
Depreciation,0.28,0.31,0.36,0.4,0.55,0.75,0.78,1.01,0.97,0.96,0.92,0.8,0.62
Profit before tax,3.71,3.25,0.4,1.77,1.53,3.37,4.75,7.19,4.06,5.76,8.67,9.03,10.89
Tax %,31.27,31.08,32.5,32.2,34.64,35.01,26.95,31.29,32.27,30.38,19.26,26.14,
Net Profit,2.55,2.24,0.28,1.19,1.0,2.19,3.48,4.94,2.76,4.01,7.0,6.67,8.17
EPS in Rs,6.19,5.44,0.68,2.89,2.43,5.32,7.46,10.59,5.92,8.6,15.01,14.3,17.52
