,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,1,1,1,1.0
Reserves,260,265,269,269,398,399,439,423,374,366,328,365.0
Preference Capital,0,0,0,0,0,0,23,25,75,77,79,
Borrowings,121,154,189,222,216,263,238,267,275,313,297,353.0
Other Liabilities,160,189,115,204,231,253,335,239,346,352,283,186.0
Total Liabilities,543,610,575,696,846,916,1014,931,997,1033,910,906.0
Fixed Assets,169,159,167,238,439,429,629,610,603,591,589,578.0
CWIP,12,22,92,28,39,107,0,1,2,8,2,2.0
Investments,33,32,26,38,23,8,0,0,0,0,0,0.0
Other Assets,329,396,290,392,346,372,384,320,392,433,319,326.0
Total Assets,543,610,575,696,846,916,1014,931,997,1033,910,906.0
