,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,101.0,124,77,136,121,108,114,90,136,91,80
Inventory Days,83.0,54,29,60,49,55,61,112,142,117,140
Days Payable,78.0,72,32,109,103,123,105,81,159,100,104
Cash Conversion Cycle,106.0,106,75,87,67,40,69,122,119,108,115
Working Capital Days,91.0,92,72,93,72,57,92,115,128,102,95
ROCE %,,6,6,8,6,5,5,1,5,4,-6
