,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,6,6,6,6.0
Reserves,313,406,734,999,1303,1446,1484.0
Preference Capital,0,0,0,2,2,2,
Borrowings,329,181,237,135,348,266,236.0
Other Liabilities,224,209,274,351,355,401,444.0
Total Liabilities,872,802,1250,1492,2012,2119,2170.0
Fixed Assets,126,132,162,199,236,288,288.0
CWIP,5,0,1,9,34,50,55.0
Investments,1,5,39,75,62,103,145.0
Other Assets,740,664,1049,1208,1681,1678,1682.0
Total Assets,872,802,1250,1492,2012,2119,2170.0
