,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-2,190,153,389,-228,181
Cash from Investing Activity,-19,-12,-18,-177,44,-88
Cash from Financing Activity,16,-178,-130,-133,152,-118
Net Cash Flow,-5,0,4,79,-32,-25
