,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,502.0,538.0,596.0,417.0,627.0,664.0,587.0,569.0,636.0,459.0,715.0,521.0,639.0
Expenses,407.0,431.0,472.0,330.0,490.0,523.0,480.0,494.0,571.0,427.0,673.0,492.0,584.0
Operating Profit,95.0,107.0,124.0,87.0,137.0,142.0,107.0,75.0,65.0,33.0,42.0,28.0,55.0
OPM %,19.0,20.0,21.0,21.0,22.0,21.0,18.0,13.0,10.0,7.0,6.0,5.0,9.0
Other Income,3.0,2.0,5.0,4.0,4.0,4.0,6.0,3.0,3.0,3.0,10.0,5.0,4.0
Interest,3.0,3.0,2.0,3.0,3.0,4.0,7.0,5.0,6.0,7.0,6.0,6.0,5.0
Depreciation,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0
Profit before tax,90.0,102.0,122.0,84.0,134.0,137.0,101.0,68.0,56.0,24.0,41.0,21.0,48.0
Tax %,26.0,26.0,25.0,24.0,25.0,26.0,28.0,26.0,27.0,31.0,27.0,29.0,25.0
Net Profit,67.0,75.0,91.0,64.0,100.0,101.0,73.0,50.0,41.0,17.0,30.0,15.0,36.0
EPS in Rs,26.62,29.91,36.16,21.34,33.4,33.69,24.53,16.87,13.97,6.01,10.38,5.55,12.33
