,2014-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,5.71,5.71,5.71,5.71,10.27,10.27,10.27,10.27,10.27
Reserves,4.09,0.26,0.44,2.79,4.59,-0.85,-0.23,0.05,0.08,
Borrowings,0.0,0.77,1.56,0.6900000000000001,0.25,0.25,0.51,0.51,2.26,
Other Liabilities,0.06,4.09,5.8100000000000005,12.88,9.03,20.48,23.51,12.09,2.55,
Total Liabilities,4.4,10.83,13.52,22.07,19.58,30.15,34.06,22.92,15.16,
Fixed Assets,0.0,0.0,0.0,3.78,0.17,0.6000000000000001,0.85,0.68,2.31,
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Investments,0.05,2.61,3.5700000000000003,0.0,1.6,2.08,2.58,2.58,2.69,
Other Assets,4.35,8.22,9.95,18.29,17.81,27.47,30.63,19.66,10.16,
Total Assets,4.4,10.83,13.52,22.07,19.58,30.15,34.06,22.92,15.16,
