,Mar 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.09,5.41,14.78,36.06,36.24,21.55,21.79,12.01,4.12,3.53
Expenses,0.06,5.64,14.86,33.5,34.47,23.24,21.94,11.41,4.28,2.78
Operating Profit,0.03,-0.23,-0.08,2.56,1.77,-1.69,-0.15,0.6,-0.16,0.75
OPM %,33.33,-4.25,-0.54,7.1,4.88,-7.84,-0.69,5.0,-3.88,21.25
Other Income,0.00,0.34,0.35,0.58,0.68,1.01,0.99,0.03,0.54,0.00
Interest,0.00,0.0,0.03,0.0,0.0,0.0,0.01,0.04,0.05,0.10
Depreciation,0.00,0.0,0.0,0.01,0.05,0.15,0.24,0.29,0.24,0.18
Profit before tax,0.03,0.11,0.24,3.13,2.4,-0.83,0.59,0.3,0.09,0.47
Tax %,33.33,0.0,25.0,24.92,25.42,0.0,-3.39,6.67,77.78,
Net Profit,0.02,0.11,0.18,2.35,1.79,-0.83,0.62,0.29,0.02,0.36
EPS in Rs,,0.01,0.02,0.23,0.17,-0.08,0.06,0.03,0.0,0.03
