,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,3.15,3.15,3.15,3.15,3.15,3.15
Reserves,5.01,5.13,5.29,7.32,39.41,37.08
Borrowings,24.59,29.3,49.15,54.67,143.08,156.46
Other Liabilities,10.82,23.97,43.57,50.3,131.23,8.15
Total Liabilities,43.57,61.55,101.16,115.44,316.87,204.84
Fixed Assets,0.5,0.48,0.46,0.53,30.44,30.41
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.59,0.48,0.0,0.0,0.0,0.0
Other Assets,42.48,60.59,100.7,114.91,286.43,174.43
Total Assets,43.57,61.55,101.16,115.44,316.87,204.84
