,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.27,6.01,7.17,5.86,13.17,13.45,12.36,23.13,29.69,35.75,22.38,30.04,34.91
Expenses,5.88,5.0,6.21,5.12,12.3,10.84,11.43,22.11,27.87,34.15,21.05,28.88,33.61
Operating Profit,0.39,1.01,0.96,0.74,0.87,2.61,0.93,1.02,1.82,1.6,1.33,1.16,1.30
OPM %,6.22,16.81,13.39,12.63,6.61,19.41,7.52,4.41,6.13,4.48,5.94,3.86,3.72
Other Income,0.04,0.06,0.06,0.46,0.53,0.14,0.1,0.1,0.17,0.8,0.15,0.1,0.10
Interest,0.08,0.19,0.15,0.21,0.15,0.16,0.15,0.16,0.12,0.07,0.04,0.04,0.04
Depreciation,0.19,0.21,0.22,0.25,0.26,0.28,0.3,0.37,0.41,0.41,0.43,0.43,0.44
Profit before tax,0.16,0.67,0.65,0.74,0.99,2.31,0.58,0.59,1.46,1.92,1.01,0.79,0.92
Tax %,6.25,19.4,20.0,20.27,20.2,22.51,20.69,20.34,17.81,34.9,31.68,29.11,
Net Profit,0.15,0.54,0.52,0.59,0.78,1.79,0.47,0.48,1.21,1.24,0.7,0.56,0.67
EPS in Rs,0.09,0.33,0.32,0.36,0.48,1.1,0.29,0.29,0.74,0.76,0.43,0.34,0.41
