,2017-03-01,2018-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.74,0.74,0.74,0.74,0.74,0.74,0.74
Reserves,1.94,2.83,10.78,9.78,10.21,10.68,10.8
Borrowings,3.2,2.15,2.52,1.43,0.14,1.76,1.6
Other Liabilities,4.33,5.39,5.59,2.93,2.77,1.91,1.72
Total Liabilities,10.21,11.11,19.63,14.88,13.86,15.09,14.86
Fixed Assets,3.61,3.64,12.23,7.85,6.28,8.07,8.02
CWIP,0.0,0.0,0.0,0.0,0.07,0.0,0.0
Investments,0.08,0.2,0.43,0.77,0.43,0.5700000000000001,0.5700000000000001
Other Assets,6.52,7.27,6.97,6.26,7.08,6.45,6.27
Total Assets,10.21,11.11,19.63,14.88,13.86,15.09,14.86
