,2017-03-01,2018-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,14.36,19.37,18.39,14.4,16.15,17.15
Expenses,13.07,17.84,17.57,13.0,15.36,16.37
Operating Profit,1.29,1.53,0.82,1.4,0.79,0.78
OPM %,8.98,7.9,4.46,9.72,4.89,4.55
Other Income,0.32,0.49,0.31,0.27,1.01,0.26
Interest,0.15,0.17,0.18,0.17,0.07,0.22
Depreciation,0.45,0.53,0.64,0.52,0.47,0.37
Profit before tax,1.01,1.32,0.31,0.98,1.26,0.45
Tax %,31.68,32.58,-83.87,-146.94,29.37,20.0
Net Profit,0.7,0.89,0.57,2.42,0.89,0.36
EPS in Rs,9.45,12.01,7.69,32.66,12.01,4.86
