,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,47.9,26.29,21.74,68.49,68.49,68.49,68.49,68.48,68.27
FIIs,11.92,8.7,0.0,0.0,0.0,1.03,0.01,0.0,0.0
DIIs,22.27,7.97,0.16,0.06,0.01,0.0,0.0,0.0,0.0
Public,17.9,57.04,78.1,31.45,31.51,30.48,31.51,31.52,31.73
No. of Shareholders,9795.0,20992.0,22644.0,20830.0,18769.0,18096.0,21840.0,21283.0,18977.0
