,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,408.0,520.0,561.0,832.0,1113.0,1141.0,466.0,609.0,547
Expenses,344.0,450.0,487.0,758.0,995.0,885.0,413.0,495.0,460
Operating Profit,64.0,70.0,74.0,74.0,117.0,256.0,54.0,114.0,87
OPM %,16.0,13.0,13.0,9.0,11.0,22.0,12.0,19.0,16
Other Income,2.0,9.0,16.0,11.0,6.0,-73.0,25.0,-596.0,-593
Interest,10.0,13.0,13.0,9.0,16.0,81.0,98.0,79.0,71
Depreciation,20.0,21.0,19.0,46.0,42.0,166.0,165.0,137.0,109
Profit before tax,37.0,45.0,58.0,31.0,65.0,-64.0,-184.0,-698.0,-685
Tax %,33.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,25.0,29.0,46.0,31.0,65.0,-64.0,-184.0,-698.0,-685
EPS in Rs,6.3,7.52,11.69,7.64,16.26,-14.56,-42.01,-159.04,-156.16
