,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,39,39,39,40,40,44,44,44
Reserves,179,208,254,495,560,699,514,-184
Borrowings,63,80,81,33,218,916,812,543
Other Liabilities,107,156,136,257,366,390,416,362
Total Liabilities,387,484,510,824,1184,2049,1786,764
Fixed Assets,130,138,130,317,412,834,698,412
CWIP,21,2,70,3,55,6,0,0
Investments,0,0,0,63,63,0,0,0
Other Assets,237,343,310,441,653,1210,1088,353
Total Assets,387,484,510,824,1184,2049,1786,764
