,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.39,5.59,3.78,0.21,15.54,14.88,4.25,6.43,5.56
Expenses,6.0,4.86,4.4,0.79,13.16,15.69,5.4,7.13,6.05
Operating Profit,0.39,0.73,-0.62,-0.58,2.38,-0.81,-1.15,-0.7,-0.49
OPM %,6.1,13.06,-16.4,-276.19,15.32,-5.44,-27.06,-10.89,-8.81
Other Income,0.14,0.27,0.42,0.93,1.99,3.19,3.2,1.52,0.93
Interest,0.36,0.64,1.76,1.81,1.36,0.97,0.92,0.73,0.57
Depreciation,0.08,0.15,0.15,0.15,0.15,0.08,0.11,0.21,0.22
Profit before tax,0.09,0.21,-2.11,-1.61,2.86,1.33,1.02,-0.12,-0.35
Tax %,155.56,100.0,-3.79,-9.94,22.03,19.55,7.84,-33.33,
Net Profit,-0.04,-0.01,-2.2,-1.77,2.22,1.07,0.94,-0.17,-0.39
EPS in Rs,-0.08,-0.02,-4.15,-3.34,4.18,2.02,1.77,-0.32,-0.73
