,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31
Reserves,0.67,0.67,-1.53,-3.3,-1.08,-0.01,0.93,0.77,0.3
Borrowings,37.06,39.22,38.7,41.1,30.59,24.46,14.42,13.13,14.59
Other Liabilities,9.23,8.11,6.52,7.96,12.65,15.36,14.89,11.24,11.11
Total Liabilities,52.27,53.31,49.0,51.07,47.47,45.12,35.55,30.45,31.31
Fixed Assets,3.66,3.62,3.48,3.34,3.2,3.17,3.77,4.23,1.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92
Other Assets,48.61,49.69,45.52,47.73,44.27,41.95,31.78,26.22,27.13
Total Assets,52.27,53.31,49.0,51.07,47.47,45.12,35.55,30.45,31.31
