,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.52,24.46,8.42,19.11,20.75,20.43,22.51,31.03,25.22,21.71,36.56,35.49,36.87
Expenses,25.2,24.73,8.62,18.41,19.06,18.49,20.68,28.71,23.81,20.8,34.77,32.56,33.98
Operating Profit,1.32,-0.27,-0.2,0.7,1.69,1.94,1.83,2.32,1.41,0.91,1.79,2.93,2.89
OPM %,4.98,-1.1,-2.38,3.66,8.14,9.5,8.13,7.48,5.59,4.19,4.9,8.26,7.84
Other Income,0.46,0.58,0.9,1.04,0.48,0.54,0.33,0.44,0.67,0.95,0.41,0.17,0.45
Interest,0.2,0.21,0.07,0.03,0.03,0.05,0.05,0.0,0.01,0.01,0.0,0.03,0.01
Depreciation,0.48,0.47,0.47,0.53,0.51,0.52,0.49,0.5,0.51,0.44,0.47,0.54,0.58
Profit before tax,1.1,-0.37,0.16,1.18,1.63,1.91,1.62,2.26,1.56,1.41,1.73,2.53,2.75
Tax %,28.18,37.84,50.0,5.08,31.29,32.98,25.93,26.11,23.72,26.95,26.01,21.74,
Net Profit,0.79,-0.24,0.08,1.12,1.12,1.29,1.2,1.67,1.19,1.04,1.28,1.97,2.13
EPS in Rs,2.63,-0.8,0.27,3.73,3.73,4.3,3.82,5.32,3.79,3.31,4.08,6.27,6.78
