,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.47,3.16,3.52,1.33,2.14,1.89,5.17,5.98,11.72,10.62,9.64,13.28,13.89
Expenses,1.51,3.14,3.47,1.48,2.16,2.25,5.29,5.54,11.04,10.56,10.46,12.78,12.71
Operating Profit,-0.04,0.02,0.05,-0.15,-0.02,-0.36,-0.12,0.44,0.68,0.06,-0.82,0.5,1.18
OPM %,-2.72,0.63,1.42,-11.28,-0.93,-19.05,-2.32,7.36,5.8,0.56,-8.51,3.77,8.50
Other Income,0.25,0.00,0.01,0.48,0.38,0.72,0.72,0.29,0.48,1.2,1.67,1.24,1.20
Interest,0.00,0.00,0.0,0.06,0.13,0.1,0.07,0.03,0.19,0.22,0.09,0.0,0.00
Depreciation,0.00,0.02,0.02,0.11,0.21,0.23,0.27,0.32,0.32,0.47,0.52,0.62,0.68
Profit before tax,0.21,0.00,0.04,0.16,0.02,0.03,0.26,0.38,0.65,0.57,0.24,1.12,1.70
Tax %,28.57,,25.0,62.5,100.0,33.33,42.31,57.89,50.77,35.09,129.17,-41.07,
Net Profit,0.15,0.01,0.03,0.06,0.01,0.02,0.14,0.16,0.32,0.38,-0.07,1.58,2.10
EPS in Rs,,0.01,0.02,0.04,0.01,0.01,0.1,0.12,0.23,0.27,-0.05,0.79,1.13
