,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,131.65,165.84,215.31,202.66,208.11,244.92,252.91,188.71,152.19,123.71,218.18,199.09,194.09
Expenses,128.86,152.16,193.58,186.01,191.37,220.82,231.46,172.55,143.6,118.89,210.69,191.64,185.17
Operating Profit,2.79,13.68,21.73,16.65,16.74,24.1,21.45,16.16,8.59,4.82,7.49,7.45,8.92
OPM %,2.12,8.25,10.09,8.22,8.04,9.84,8.48,8.56,5.64,3.9,3.43,3.74,4.6
Other Income,0.97,0.82,5.64,0.05,1.11,0.74,0.86,0.02,1.32,6.11,6.21,6.26,5.6
Interest,7.34,6.98,8.79,7.13,7.18,7.58,7.0,6.4,6.36,6.21,6.86,7.46,7.57
Depreciation,5.49,6.51,6.41,5.93,5.98,5.93,5.74,5.82,5.89,5.74,5.53,5.52,5.53
Profit before tax,-9.07,1.01,12.17,3.64,4.69,11.33,9.57,3.96,-2.34,-1.02,1.31,0.73,1.42
Tax %,30.65,41.58,32.7,31.32,31.98,41.13,37.3,35.61,33.33,34.31,64.12,-130.14,35.21
Net Profit,-6.29,0.59,8.19,2.5,3.19,6.67,5.99,2.55,-1.56,-0.66,0.47,1.68,0.92
EPS in Rs,-2.7,0.25,3.52,1.07,1.37,2.86,2.57,1.09,-0.67,-0.28,0.2,0.72,0.39
