,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,30,30,30,30,30,30,30,30,30,30,30,30
Reserves,2385,2713,3332,4362,5606,7145,8811,10504,11192,12416,14694,15193
Borrowings,2729,3118,3842,4594,5552,8717,6198,1278,1021,815,723,627
Other Liabilities,8697,5378,8877,11956,12943,7643,13803,18916,11230,10655,7428,3376
Total Liabilities,13840,11238,16081,20941,24131,23535,28841,30728,23473,23916,22875,19224
Fixed Assets,69,168,264,1287,1199,1289,1452,1521,1447,1449,2038,2023
CWIP,0,0,0,62,88,5,2,1,12,6,38,49
Investments,3,13,60,841,919,1020,1088,1142,1041,1113,1241,1254
Other Assets,13767,11056,15756,18752,21925,21221,26300,28064,20973,21348,19557,15898
Total Assets,13840,11238,16081,20941,24131,23535,28841,30728,23473,23916,22875,19224
