,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,41.9,33.74,34.16,33.33,32.06,8.72,10.24,3.19,4.9,2.42,1.86
Expenses,37.73,32.5,31.12,30.09,30.41,17.36,13.21,3.35,4.48,2.26,1.64
Operating Profit,4.17,1.24,3.04,3.24,1.65,-8.64,-2.97,-0.16,0.42,0.16,0.22
OPM %,9.95,3.68,8.9,9.72,5.15,-99.08,-29.0,-5.02,8.57,6.61,11.83
Other Income,0.23,0.43,2.05,0.22,0.79,3.79,8.21,-0.03,0.1,0.9,1.40
Interest,3.19,4.05,4.02,3.11,3.24,3.28,2.17,0.41,0.23,0.77,0.75
Depreciation,0.87,0.96,0.97,0.97,0.98,0.96,0.8,0.72,0.72,0.67,0.49
Profit before tax,0.34,-3.34,0.1,-0.62,-1.78,-9.09,2.27,-1.32,-0.43,-0.38,0.38
Tax %,-5.88,31.74,100.0,4.84,20.22,24.31,36.12,-150.0,37.21,-157.89,
Net Profit,0.36,-2.29,0.01,-0.59,-1.42,-6.88,1.44,-3.29,-0.27,-0.98,-0.47
EPS in Rs,0.52,-3.54,0.02,-0.91,-2.19,-10.62,2.22,-5.08,-0.42,-1.51,-0.73
