,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.57,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
Reserves,1.21,-0.99,-0.8300000000000001,-1.42,-2.84,-9.71,-8.27,-11.56,-11.83,-12.81,-12.79
Borrowings,25.06,24.76,19.6,25.36,27.99,27.79,18.11,16.73,16.68,12.82,3.05
Other Liabilities,8.47,11.39,13.36,11.45,10.49,9.8,9.18,10.47,9.53,12.99,15.44
Total Liabilities,41.31,41.64,38.61,41.87,42.12,34.36,25.5,22.12,20.86,19.48,12.18
Fixed Assets,14.33,13.62,12.67,11.78,10.81,9.81,6.59,6.04,5.33,4.66,0.62
CWIP,3.19,4.34,5.45,8.25,9.78,9.81,9.22,9.22,9.22,9.22,5.65
Investments,0.25,0.26,0.31,0.31,0.18,0.18,0.01,0.02,0.1,0.04,0.04
Other Assets,23.54,23.42,20.18,21.53,21.35,14.56,9.68,6.84,6.21,5.5600000000000005,5.87
Total Assets,41.31,41.64,38.61,41.87,42.12,34.36,25.5,22.12,20.86,19.48,12.18
