,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3,-101,63,-25
Cash from Investing Activity,84,-6,-42,27
Cash from Financing Activity,3,35,16,-44
Net Cash Flow,90,-72,37,-42
