,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,9.97,74.56,74.56,74.56,74.56,74.56,74.56,74.56,74.56
FIIs,0.0,0.0,0.0,0.0,0.0,1.45,14.03,13.1,13.1
Public,90.03,25.44,25.44,25.44,25.44,23.99,11.41,12.35,12.34
No. of Shareholders,168.0,170.0,170.0,299.0,471.0,1135.0,1979.0,1565.0,1450.0
