,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1,2,7,5,-1
Cash from Investing Activity,-6,-8,-22,-17,-6
Cash from Financing Activity,10,2,18,10,6
Net Cash Flow,3,-3,2,-2,0
