,2022-09-01,2023-06-01,2023-09-01
Sales,746.0,657.0,794.0
Expenses,665.0,593.0,719.0
Operating Profit,81.0,64.0,74.0
OPM %,11.0,10.0,9.0
Other Income,3.0,3.0,7.0
Interest,3.0,4.0,8.0
Depreciation,15.0,15.0,17.0
Profit before tax,67.0,48.0,57.0
Tax %,27.0,27.0,28.0
Net Profit,49.0,35.0,41.0
EPS in Rs,2.47,1.77,2.09
