,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,15,18,23,23
Reserves,12,16,80,150,184,201
Borrowings,25,16,81,286,443,466
Other Liabilities,3,3,11,18,22,12
Total Liabilities,54,48,186,472,671,701
Fixed Assets,1,3,11,23,24,56
CWIP,1,0,4,24,29,0
Investments,0,1,11,26,49,13
Other Assets,52,44,160,399,570,632
Total Assets,54,48,186,472,671,701
