,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,24.38,23.41,35.92,40.08
Expenses,23.86,22.8,35.84,38.59
Operating Profit,0.52,0.61,0.08,1.49
OPM %,2.13,2.61,0.22,3.72
Other Income,0.34,0.65,0.93,0.57
Interest,0.35,0.38,0.1,0.46
Depreciation,0.03,0.08,0.25,0.62
Profit before tax,0.48,0.8,0.66,0.98
Tax %,22.92,25.0,15.15,26.53
Net Profit,0.36,0.6,0.56,0.72
EPS in Rs,2.1,2.98,1.39,1.31
