,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.95,38.44,70.46,59.33,76.00
Expenses,19.21,37.57,69.03,58.09,74.43
Operating Profit,0.74,0.87,1.43,1.24,1.57
OPM %,3.71,2.26,2.03,2.09,2.07
Other Income,0.13,0.2,0.34,1.58,1.50
Interest,0.75,0.82,0.73,1.03,0.56
Depreciation,0.05,0.05,0.07,0.32,0.87
Profit before tax,0.07,0.2,0.97,1.47,1.64
Tax %,28.57,25.0,26.8,21.09,
Net Profit,0.05,0.15,0.71,1.16,1.28
EPS in Rs,2.04,6.12,4.14,2.88,2.70
