,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,376,-402,1058,-1717,-918,-2546,-3584,773,3164,969,-3458,-2449
Cash from Investing Activity,185,167,585,-281,264,-326,-708,-148,-901,-2249,2614,-443
Cash from Financing Activity,-496,256,-1594,1783,1305,2424,4540,-522,-2205,1296,1281,2153
Net Cash Flow,66,21,48,-215,651,-448,247,103,58,16,437,-739
