,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71
Reserves,0.32,0.38,0.18,-1.91,-2.2,-2.14,-2.29,-2.56,-2.36
Borrowings,0.0,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.08,1.46,1.06,0.53,0.1,0.09,0.04,0.5700000000000001,0.8300000000000001
Total Liabilities,9.11,11.25,9.95,7.33,6.61,6.66,6.46,6.72,7.18
Fixed Assets,0.01,3.13,3.62,1.97,0.04,0.01,0.01,0.01,0.01
CWIP,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.07,0.0,0.13,0.09,0.01,0.01,0.0,0.0,0.0
Other Assets,9.03,8.09,6.2,5.27,6.5600000000000005,6.64,6.45,6.71,7.17
Total Assets,9.11,11.25,9.95,7.33,6.61,6.66,6.46,6.72,7.18
