,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,55.0,86.0,82.0,85.0,71.0,70.0,59.0,55.0,64.0,62.0,64.0,123.0
Expenses,50.0,78.0,75.0,77.0,64.0,64.0,51.0,47.0,56.0,58.0,59.0,110.0
Operating Profit,5.0,8.0,7.0,9.0,7.0,6.0,9.0,8.0,7.0,4.0,5.0,13.0
OPM %,10.0,9.0,9.0,10.0,10.0,9.0,15.0,14.0,12.0,6.0,8.0,10.0
Other Income,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0,-3.0,1.0,3.0
Interest,2.0,4.0,5.0,6.0,6.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0
Depreciation,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Profit before tax,2.0,3.0,2.0,1.0,0.0,0.0,5.0,4.0,4.0,-3.0,1.0,10.0
Tax %,33.0,32.0,38.0,34.0,35.0,65.0,36.0,34.0,27.0,25.0,23.0,27.0
Net Profit,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,-2.0,1.0,8.0
EPS in Rs,4.84,8.36,3.84,3.12,1.32,0.64,12.08,3.36,2.05,-1.76,0.68,5.95
