,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.09,2.97,10.42,10.42,10.42,10.42,10.42,10.42,10.42
Reserves,3.07,4.51,1.51,1.66,1.73,1.63,1.97,2.34,3.27
Borrowings,0.48,0.78,1.69,2.37,0.43,0.13,0.75,0.31,0.07
Other Liabilities,3.63,5.61,1.6800000000000002,0.75,1.72,6.99,2.05,4.96,8.71
Total Liabilities,9.27,13.87,15.3,15.2,14.3,19.17,15.19,18.03,22.47
Fixed Assets,0.02,0.02,0.02,0.14,0.05,0.02,0.01,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.3,1.45,3.51,1.13,1.13,0.13,0.13,0.13,0.0
Other Assets,8.95,12.4,11.77,13.93,13.12,19.02,15.05,17.9,22.47
Total Assets,9.27,13.87,15.3,15.2,14.3,19.17,15.19,18.03,22.47
