,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.93,15.21,23.39,12.33,16.92,5.78,12.28,6.58,13.20
Expenses,4.07,15.57,23.84,12.8,17.27,6.17,12.45,6.65,12.99
Operating Profit,-0.14,-0.36,-0.45,-0.47,-0.35,-0.39,-0.17,-0.07,0.21
OPM %,-3.56,-2.37,-1.92,-3.81,-2.07,-6.75,-1.38,-1.06,1.59
Other Income,0.17,0.58,0.57,0.69,0.58,0.58,0.64,0.54,1.19
Interest,0.0,0.03,0.05,0.06,0.03,0.02,0.0,0.0,0.00
Depreciation,0.01,0.02,0.02,0.01,0.09,0.03,0.01,0.0,0.00
Profit before tax,0.02,0.17,0.05,0.15,0.11,0.14,0.46,0.47,1.40
Tax %,50.0,29.41,200.0,0.0,36.36,28.57,23.91,27.66,
Net Profit,0.01,0.12,-0.04,0.14,0.07,0.1,0.34,0.34,1.27
EPS in Rs,0.05,0.4,-0.04,0.13,0.07,0.1,0.33,0.33,1.21
