,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,30.69,30.57,28.61,40.07
Expenses,26.69,27.9,25.62,35.89
Operating Profit,4.0,2.67,2.99,4.18
OPM %,13.03,8.73,10.45,10.43
Other Income,0.35,0.15,0.38,0.11
Interest,0.39,0.23,0.28,-0.0
Depreciation,0.37,0.36,0.35,0.44
Profit before tax,3.59,2.23,2.74,3.85
Tax %,37.05,19.28,34.31,28.31
Net Profit,2.26,1.81,1.81,2.75
EPS in Rs,18.12,1.74,1.28,1.94
