,2014-03-01,2015-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.95,0.95,1.25,1.25,1.25,14.17,14.17
Reserves,0.55,0.79,3.9,5.83,9.68,14.56,17.29
Borrowings,3.84,4.35,5.73,3.95,6.09,1.69,1.17
Other Liabilities,1.97,2.62,9.51,11.6,10.02,10.86,13.72
Total Liabilities,7.31,8.71,20.39,22.63,27.04,41.28,46.35
Fixed Assets,1.62,2.35,4.92,5.95,6.42,7.17,11.97
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.13,0.11,0.16,0.11,0.0,0.0,0.0
Other Assets,5.5600000000000005,6.25,15.31,16.57,20.62,34.11,34.38
Total Assets,7.31,8.71,20.39,22.63,27.04,41.28,46.35
