,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.81,17.06,46.0,55.21,63.44,59.18,68.68
Expenses,13.22,16.3,43.23,52.16,57.69,53.53,61.51
Operating Profit,0.59,0.76,2.77,3.05,5.75,5.65,7.17
OPM %,4.27,4.45,6.02,5.52,9.06,9.55,10.44
Other Income,0.18,0.32,0.34,0.41,0.31,0.54,0.49
Interest,0.35,0.53,0.55,0.21,0.37,0.5,0.28
Depreciation,0.11,0.19,0.53,0.62,0.74,0.71,0.79
Profit before tax,0.31,0.36,2.03,2.63,4.95,4.98,6.59
Tax %,35.48,33.33,40.39,26.62,26.87,27.31,
Net Profit,0.2,0.24,1.21,1.93,3.62,3.62,4.56
EPS in Rs,2.11,2.53,9.7,15.47,29.02,2.55,3.22
