,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.27,14.64,26.41,26.46,31.41,30.08,3.53,5.36,8.32,8.57
Expenses,9.73,15.7,25.94,28.98,32.74,37.75,9.21,10.14,8.2,8.86
Operating Profit,-0.46,-1.06,0.47,-2.52,-1.33,-7.67,-5.68,-4.78,0.12,-0.29
OPM %,-4.96,-7.24,1.78,-9.52,-4.23,-25.5,-160.91,-89.18,1.44,-3.38
Other Income,0.69,0.42,0.29,0.91,1.06,0.54,0.21,2.14,0.36,1.01
Interest,0.02,0.1,0.25,0.25,0.27,0.47,0.08,0.06,0.07,0.06
Depreciation,0.18,0.12,0.24,0.27,0.86,1.51,0.2,0.1,0.08,0.07
Profit before tax,0.03,-0.86,0.27,-2.13,-1.4,-9.11,-5.75,-2.8,0.33,0.59
Tax %,-166.67,0.0,59.26,-6.1,0.0,0.0,0.0,0.0,169.7,
Net Profit,0.08,-0.86,0.12,-2.28,-1.4,-9.12,-5.75,-2.8,-0.22,-0.02
EPS in Rs,1.23,-13.2,1.72,-2.19,-1.34,-8.76,-5.52,-2.69,-0.21,-0.02
