,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.8,15.81,14.28,0.41,3.12,1.83,3.52,4.06,4.26,4.31
Expenses,17.87,15.98,20.05,2.24,6.97,6.57,4.29,3.84,4.60,4.26
Operating Profit,-2.07,-0.17,-5.77,-1.83,-3.85,-4.74,-0.77,0.22,-0.34,0.05
OPM %,-13.1,-1.08,-40.41,-446.34,-123.4,-259.02,-21.88,5.42,-7.98,1.16
Other Income,0.63,0.28,0.26,0.11,0.11,2.48,0.39,0.18,0.42,0.59
Interest,0.14,0.13,0.34,0.04,0.04,0.02,0.04,0.02,0.04,0.02
Depreciation,0.63,0.7,2.54,0.1,0.1,0.05,0.05,0.04,0.04,0.03
Profit before tax,-2.21,-0.72,-8.39,-1.86,-3.88,-2.33,-0.47,0.34,0.00,0.59
Tax %,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.17
Net Profit,-2.2,-0.73,-8.39,-1.87,-3.88,-2.34,-0.47,0.33,-0.56,0.54
EPS in Rs,-2.11,-0.7,-8.05,-1.8,-3.73,-2.25,-0.45,0.32,-0.54,0.52
