,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.65,0.65,0.7000000000000001,10.42,10.42,10.42,10.42,10.42,10.42,10.42
Reserves,5.54,4.67,7.52,12.28,10.83,1.7000000000000002,-4.07,-6.22,-6.41,-5.87
Preference Capital,2.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,5.0,6.2,3.77,4.19,3.25,3.98,3.17,3.29,3.32,2.59
Total Liabilities,11.26,11.54,11.99,26.89,24.5,16.1,9.52,7.49,7.33,7.14
Fixed Assets,0.33,0.76,1.24,1.16,4.03,0.84,0.66,0.26,0.18,0.15
CWIP,0.0,0.0,0.0,0.43,1.04,1.04,1.04,0.0,0.0,0.0
Investments,0.01,0.01,0.01,0.12,0.13,0.11,0.11,0.11,0.11,0.01
Other Assets,10.92,10.77,10.74,25.18,19.3,14.11,7.71,7.12,7.04,6.98
Total Assets,11.26,11.54,11.99,26.89,24.5,16.1,9.52,7.49,7.33,7.14
