,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1.27,-1.74,-4.86,-4.79,-6.53,-8.51,-2.96,4.47,3.12
Cash from Investing Activity,0.48,-0.17,-0.96,-10.38,-0.36,5.01,2.17,2.52,0.05
Cash from Financing Activity,-0.11,-0.15,2.64,18.68,3.74,3.1,1.05,-6.6,-2.6
Net Cash Flow,-0.91,-2.06,-3.18,3.52,-3.15,-0.4,0.27,0.39,0.5700000000000001
