,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.8,56.74,53.9,59.67,63.59,64.64,69.04,74.13,65.87,62.75,67.71,76.95,76.94
Expenses,40.96,41.42,39.34,45.99,48.81,49.02,54.36,58.81,54.17,50.99,55.94,63.77,65.16
Operating Profit,14.84,15.32,14.56,13.68,14.78,15.62,14.68,15.32,11.7,11.76,11.77,13.18,11.78
OPM %,26.59,27.0,27.01,22.93,23.24,24.16,21.26,20.67,17.76,18.74,17.38,17.13,15.31
Other Income,0.35,0.39,0.49,0.86,-1.66,1.18,1.4,1.81,-1.97,6.39,4.01,1.64,5.46
Interest,2.01,1.87,2.25,2.15,1.7,0.98,0.99,1.2,1.3,0.85,0.27,0.27,0.26
Depreciation,5.79,6.22,6.46,6.24,6.07,6.07,6.59,6.86,5.89,4.79,4.35,4.24,4.30
Profit before tax,7.39,7.62,6.34,6.15,5.35,9.75,8.5,9.07,2.54,12.51,11.16,10.31,12.68
Tax %,28.69,27.95,33.28,26.02,43.36,27.08,17.29,14.99,55.91,16.31,22.04,26.67,
Net Profit,5.27,5.49,4.23,4.54,3.03,7.11,7.03,7.71,1.13,10.48,8.7,7.57,9.83
EPS in Rs,8.57,8.93,6.88,7.38,4.93,11.56,11.43,12.54,1.84,17.04,14.15,12.31,15.99
