,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19,2.19
Reserves,-1.15,29.48,30.5,31.48,31.2,35.16,41.06,45.0,49.65
Preference Capital,3.2,0.0,3.18,3.18,2.98,2.98,2.98,2.99,
Borrowings,22.0,21.71,18.18,13.72,19.52,11.66,10.19,11.19,10.63
Other Liabilities,20.4,28.1,29.31,33.83,32.45,35.55,37.18,35.94,39.41
Total Liabilities,43.44,81.48,80.18,81.22,85.36,84.56,90.62,94.32,101.88
Fixed Assets,8.37,43.08,44.41,44.71,44.21,44.22,44.13,43.44,43.31
CWIP,0.0,0.0,0.15,0.2,0.2,0.0,0.0,0.0,0.0
Investments,0.0,0.21,0.23,0.22,0.16,0.24,0.28,0.32,0.42
Other Assets,35.07,38.19,35.39,36.09,40.79,40.1,46.21,50.56,58.15
Total Assets,43.44,81.48,80.18,81.22,85.36,84.56,90.62,94.32,101.88
