,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.31,41.81,41.77,48.28,32.43,64.45,65.51,48.44,69.81
Expenses,21.11,37.56,36.97,43.2,28.88,54.57,54.45,41.61,58.71
Operating Profit,0.2,4.25,4.8,5.08,3.55,9.88,11.06,6.83,11.10
OPM %,0.94,10.17,11.49,10.52,10.95,15.33,16.88,14.1,15.90
Other Income,0.37,3.52,0.37,0.71,0.52,0.49,0.59,0.46,0.45
Interest,2.68,3.18,3.19,3.03,2.62,2.55,2.64,1.81,1.84
Depreciation,1.26,1.3,0.74,0.84,0.85,0.84,0.94,0.85,0.75
Profit before tax,-3.37,3.29,1.24,1.92,0.6,6.98,8.07,4.63,8.96
Tax %,0.0,26.44,33.06,46.88,118.33,43.41,28.13,15.98,
Net Profit,-3.36,2.42,0.82,1.03,-0.11,3.94,5.79,3.89,6.86
EPS in Rs,-15.37,11.07,3.75,4.71,-0.5,18.02,26.48,17.79,31.38
