,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,158.78,111.57,93.59,105.54,125.16,94.12,91.6,132.69
Inventory Days,914.33,576.19,862.37,448.87,3437.43,261.55,340.7,3035.49
Days Payable,390.23,308.76,487.82,311.36,1443.22,196.69,321.77,1525.37
Cash Conversion Cycle,682.88,379.01,468.14,243.05,2119.37,158.98,110.53,1642.81
Working Capital Days,235.51,101.44,89.74,53.68,135.29,56.75,49.42,173.76
ROCE %,,9.14,8.27,9.46,6.03,17.65,19.7,10.93
