,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05
Reserves,11.39,11.92,12.45,14.05,15.81,16.19,17.44,19.49,20.39,21.53,22.24
Borrowings,9.37,9.88,9.75,8.71,3.31,3.38,3.38,3.38,3.38,3.38,4.48
Other Liabilities,3.16,3.05,3.24,4.28,5.41,7.52,9.51,7.66,7.84,8.05,8.03
Total Liabilities,33.97,34.9,35.49,37.09,34.58,37.14,40.38,40.58,41.66,43.01,44.8
Fixed Assets,19.93,19.81,19.73,19.77,22.92,22.9,23.54,23.35,23.34,23.19,25.26
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.66,1.21,1.44,3.19,2.59,3.32,3.0,2.6,1.46,2.89,2.89
Other Assets,13.38,13.88,14.32,14.13,9.07,10.92,13.84,14.63,16.86,16.93,16.65
Total Assets,33.97,34.9,35.49,37.09,34.58,37.14,40.38,40.58,41.66,43.01,44.8
