,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.6,1.85,2.07,5.23,4.84,8.01,3.82,2.47,3.74,3.63,4.99
Expenses,0.02,0.32,0.53,1.57,1.35,5.45,1.62,0.85,2.36,1.7,2.71
Operating Profit,1.58,1.53,1.54,3.66,3.49,2.56,2.2,1.62,1.38,1.93,2.28
OPM %,98.75,82.7,74.4,69.98,72.11,31.96,57.59,65.59,36.9,53.17,45.69
Other Income,-0.0,0.05,0.03,0.08,-0.0,0.04,-0.0,0.01,-0.0,0.01,0.00
Interest,0.62,0.64,0.73,0.69,0.26,0.01,-0.0,-0.0,-0.0,-0.0,0.00
Depreciation,0.11,0.12,0.08,0.09,0.06,0.06,0.11,0.19,0.15,0.16,0.10
Profit before tax,0.85,0.82,0.76,2.96,3.17,2.53,2.09,1.44,1.23,1.78,2.18
Tax %,34.12,34.15,26.32,7.43,4.73,-0.0,-0.96,25.69,10.57,17.42,
Net Profit,0.56,0.55,0.55,2.75,3.02,2.53,2.12,1.06,1.11,1.48,1.86
EPS in Rs,0.06,0.05,0.05,0.27,0.3,0.15,0.12,0.08,0.11,0.15,0.18
