,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,8.65,-0.56,0.54,1.99,8.32,4.27,1.87,1.11,0.24,1.46
Cash from Investing Activity,-1.0,-0.56,-0.23,-1.75,-2.61,-0.03,-0.75,0.0,-0.14,-0.01
Cash from Financing Activity,-6.48,0.5,-0.12,-1.04,-5.4,-4.3,-1.7000000000000002,-0.3,0.0,0.0
Net Cash Flow,1.17,-0.62,0.19,-0.8,0.31,-0.07,-0.58,0.81,0.1,1.45
