,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,25.56,25.56,25.56,25.56,25.56,25.56,25.57,25.57
Government,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05
Public,74.44,74.44,74.44,74.44,74.44,74.44,74.39,74.39
No. of Shareholders,710.0,795.0,1011.0,1015.0,1952.0,4279.0,14951.0,19039.0
