,2012-03-01,2013-03-01,2014-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,3,3,3,5,5,16,16,16,16
Reserves,0,1,1,7,24,28,23,32,41,47
Borrowings,0,12,17,22,21,34,27,33,35,43
Other Liabilities,0,5,8,9,12,16,10,12,17,21
Total Liabilities,0,20,29,41,62,82,76,94,109,127
Fixed Assets,0,7,6,15,14,34,31,31,27,28
CWIP,0,0,0,0,10,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,0,14,23,26,37,47,45,63,82,99
Total Assets,0,20,29,41,62,82,76,94,109,127
