,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,67.0,67.0,67.0,66.02,66.02
FIIs,11.78,11.5,11.16,11.94,5.65
DIIs,7.08,8.67,9.31,8.92,6.12
Public,14.15,12.83,12.53,13.13,22.21
No. of Shareholders,67719.0,56719.0,47366.0,43390.0,86675.0
