,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,22,6,-12,50
Cash from Investing Activity,,,0,-27,6,-30
Cash from Financing Activity,,,1,-2,-3,-2
Net Cash Flow,,,23,-22,-9,18
