,2014-03-01,2015-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.06,0.1,1.51,1.55,2.11,2.11,2.11
Reserves,-0.01,0.0,0.03,0.08,0.62,0.61,0.61
Borrowings,0.04,0.17,0.03,0.01,0.0,0.0,0.0
Other Liabilities,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Total Liabilities,0.09,0.27,1.58,1.64,2.73,2.72,2.72
Fixed Assets,0.01,0.15,0.66,0.5,0.54,0.65,1.96
CWIP,0.0,0.0,0.56,0.75,1.51,1.45,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.08,0.12,0.36,0.39,0.68,0.62,0.76
Total Assets,0.09,0.27,1.58,1.64,2.73,2.72,2.72
