,2022-09-01,2023-09-01
Sales,46.24,5.35
Expenses,42.08,14.5
Operating Profit,4.16,-9.15
OPM %,9.0,-171.03
Other Income,0.95,0.14
Interest,2.03,3.16
Depreciation,0.99,7.19
Profit before tax,2.09,-19.36
Tax %,48.33,-1.6
Net Profit,1.09,-19.68
EPS in Rs,1.41,-12.19
