,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.8300000000000001,0.8300000000000001,0.8300000000000001,7.5,10.2,10.2
Reserves,3.13,4.69,8.45,3.87,13.66,14.21
Borrowings,12.17,15.65,12.33,6.83,11.16,7.57
Other Liabilities,11.33,10.58,10.36,13.28,5.25,5.45
Total Liabilities,27.46,31.75,31.97,31.48,40.27,37.43
Fixed Assets,1.41,1.14,0.97,0.85,0.86,0.35
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.8,1.08,1.55,1.97,1.36,1.75
Other Assets,25.25,29.53,29.45,28.66,38.05,35.33
Total Assets,27.46,31.75,31.97,31.48,40.27,37.43
