,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,44.14,72.17,43.5,50.41,34.77
Expenses,42.65,70.53,42.21,48.95,33.49
Operating Profit,1.49,1.64,1.29,1.46,1.28
OPM %,3.38,2.27,2.97,2.9,3.68
Other Income,0.22,0.75,0.13,0.25,0.02
Interest,0.55,0.38,0.38,0.65,0.51
Depreciation,0.07,0.06,0.05,0.06,0.05
Profit before tax,1.09,1.95,0.99,1.0,0.74
Tax %,24.77,35.9,25.25,33.0,25.68
Net Profit,0.83,1.25,0.75,0.67,0.56
EPS in Rs,1.11,1.67,0.74,0.66,0.55
