,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,78.67,61.75,76.26,115.1,93.52,85.18
Expenses,75.78,58.11,69.95,111.94,90.77,82.44
Operating Profit,2.89,3.64,6.31,3.16,2.75,2.74
OPM %,3.67,5.89,8.27,2.75,2.94,3.22
Other Income,0.3,0.38,0.38,0.97,0.38,0.27
Interest,1.36,1.64,1.53,0.96,1.02,1.16
Depreciation,0.42,0.28,0.19,0.13,0.1,0.11
Profit before tax,1.41,2.1,4.97,3.04,2.01,1.74
Tax %,28.37,26.19,22.74,31.91,29.35,
Net Profit,1.0,1.55,3.84,2.08,1.42,1.23
EPS in Rs,12.0,18.6,46.09,2.77,1.39,1.21
